cod;nome;período;valor
13;AM;2006;54
28;SE;2006;28
33;RJ;2006;89
11;RO;2006;16
35;SP;2006;527
33;RJ;2007;80
24;RN;2007;41
21;MA;2007;66
16;AP;2007;13
12;AC;2007;17
43;RS;2007;220
23;CE;2007;182
25;PB;2007;46
50;MS;2007;76
41;PR;2007;195
28;SE;2007;40
15;PA;2007;73
31;MG;2007;291
26;PE;2007;119
51;MT;2007;48
29;BA;2007;149
42;SC;2007;118
53;DF;2007;42
17;TO;2007;31
35;SP;2007;515
27;AL;2007;38
32;ES;2007;37
22;PI;2007;75
14;RR;2007;25
13;AM;2007;79
11;RO;2007;18
52;GO;2007;103
27;AL;2008;47
23;CE;2008;175
13;AM;2008;94
32;ES;2008;29
41;PR;2008;196
22;PI;2008;74
24;RN;2008;41
50;MS;2008;82
12;AC;2008;11
14;RR;2008;18
28;SE;2008;30
35;SP;2008;532
15;PA;2008;100
29;BA;2008;97
31;MG;2008;316
25;PB;2008;46
16;AP;2008;20
51;MT;2008;63
42;SC;2008;129
43;RS;2008;269
52;GO;2008;110
33;RJ;2008;65
26;PE;2008;126
53;DF;2008;48
11;RO;2008;34
17;TO;2008;32
21;MA;2008;81
31;MG;2009;298
33;RJ;2009;77
41;PR;2009;191
35;SP;2009;579
12;AC;2009;16
28;SE;2009;33
14;RR;2009;13
24;RN;2009;41
13;AM;2009;84
26;PE;2009;101
50;MS;2009;66
22;PI;2009;76
27;AL;2009;46
15;PA;2009;84
29;BA;2009;113
25;PB;2009;50
21;MA;2009;59
17;TO;2009;31
43;RS;2009;231
42;SC;2009;116
11;RO;2009;38
51;MT;2009;70
23;CE;2009;163
16;AP;2009;17
53;DF;2009;46
52;GO;2009;97
32;ES;2009;39
25;PB;2010;37
12;AC;2010;17
41;PR;2010;177
22;PI;2010;75
31;MG;2010;306
50;MS;2010;78
35;SP;2010;595
53;DF;2010;46
51;MT;2010;44
42;SC;2010;115
15;PA;2010;76
33;RJ;2010;107
26;PE;2010;101
11;RO;2010;29
32;ES;2010;37
29;BA;2010;132
13;AM;2010;89
17;TO;2010;32
27;AL;2010;36
52;GO;2010;99
24;RN;2010;29
23;CE;2010;176
16;AP;2010;15
28;SE;2010;47
14;RR;2010;19
21;MA;2010;89
43;RS;2010;212
17;TO;2011;32
11;RO;2011;30
51;MT;2011;50
41;PR;2011;156
27;AL;2011;35
26;PE;2011;108
33;RJ;2011;104
52;GO;2011;93
42;SC;2011;118
24;RN;2011;53
12;AC;2011;14
23;CE;2011;196
16;AP;2011;19
25;PB;2011;48
35;SP;2011;611
14;RR;2011;19
43;RS;2011;214
50;MS;2011;79
28;SE;2011;41
22;PI;2011;74
31;MG;2011;377
29;BA;2011;129
21;MA;2011;93
32;ES;2011;34
15;PA;2011;88
13;AM;2011;99
53;DF;2011;40
28;SE;2012;35
22;PI;2012;70
32;ES;2012;64
16;AP;2012;10
31;MG;2012;331
42;SC;2012;112
25;PB;2012;54
23;CE;2012;156
35;SP;2012;569
11;RO;2012;24
17;TO;2012;37
14;RR;2012;18
15;PA;2012;107
43;RS;2012;214
29;BA;2012;141
50;MS;2012;82
51;MT;2012;61
21;MA;2012;84
26;PE;2012;94
27;AL;2012;38
53;DF;2012;37
24;RN;2012;35
33;RJ;2012;100
41;PR;2012;183
52;GO;2012;120
13;AM;2012;101
12;AC;2012;23
50;MS;2013;84
22;PI;2013;74
41;PR;2013;180
21;MA;2013;87
52;GO;2013;124
16;AP;2013;26
26;PE;2013;85
31;MG;2013;301
29;BA;2013;111
51;MT;2013;55
42;SC;2013;109
25;PB;2013;46
28;SE;2013;40
32;ES;2013;26
33;RJ;2013;82
23;CE;2013;186
15;PA;2013;88
43;RS;2013;203
24;RN;2013;38
35;SP;2013;598
12;AC;2013;23
17;TO;2013;33
53;DF;2013;44
14;RR;2013;15
27;AL;2013;52
13;AM;2013;133
11;RO;2013;29
31;MG;2014;292
53;DF;2014;35
52;GO;2014;126
51;MT;2014;53
50;MS;2014;92
43;RS;2014;231
42;SC;2014;146
32;ES;2014;35
29;BA;2014;99
28;SE;2014;39
27;AL;2014;44
26;PE;2014;90
25;PB;2014;33
22;PI;2014;82
21;MA;2014;93
41;PR;2014;178
35;SP;2014;564
33;RJ;2014;119
17;TO;2014;28
16;AP;2014;20
15;PA;2014;87
14;RR;2014;9
13;AM;2014;134
12;AC;2014;21
24;RN;2014;35
23;CE;2014;177
11;RO;2014;36
32;ES;2015;34
17;TO;2015;35
22;PI;2015;69
14;RR;2015;31
27;AL;2015;23
21;MA;2015;101
53;DF;2015;43
41;PR;2015;174
51;MT;2015;45
11;RO;2015;38
33;RJ;2015;134
12;AC;2015;21
29;BA;2015;136
42;SC;2015;120
15;PA;2015;106
31;MG;2015;298
28;SE;2015;36
16;AP;2015;25
35;SP;2015;601
43;RS;2015;189
24;RN;2015;38
13;AM;2015;127
26;PE;2015;89
25;PB;2015;59
23;CE;2015;158
52;GO;2015;120
50;MS;2015;86
31;MG;2016;300
25;PB;2016;42
12;AC;2016;27
22;PI;2016;92
41;PR;2016;173
14;RR;2016;33
43;RS;2016;188
21;MA;2016;103
24;RN;2016;56
52;GO;2016;145
32;ES;2016;43
13;AM;2016;100
16;AP;2016;16
27;AL;2016;37
17;TO;2016;30
28;SE;2016;30
15;PA;2016;114
53;DF;2016;49
51;MT;2016;58
33;RJ;2016;124
23;CE;2016;161
11;RO;2016;25
29;BA;2016;135
35;SP;2016;554
26;PE;2016;106
42;SC;2016;130
50;MS;2016;83
15;PA;2017;125
23;CE;2017;176
28;SE;2017;40
14;RR;2017;19
31;MG;2017;359
29;BA;2017;149
52;GO;2017;147
13;AM;2017;105
53;DF;2017;54
17;TO;2017;32
51;MT;2017;53
33;RJ;2017;139
11;RO;2017;43
35;SP;2017;574
50;MS;2017;99
12;AC;2017;27
41;PR;2017;191
22;PI;2017;98
21;MA;2017;108
43;RS;2017;259
25;PB;2017;50
42;SC;2017;159
26;PE;2017;116
32;ES;2017;39
27;AL;2017;31
24;RN;2017;47
16;AP;2017;24
25;PB;2018;59
14;RR;2018;18
42;SC;2018;163
24;RN;2018;44
50;MS;2018;103
15;PA;2018;176
35;SP;2018;599
16;AP;2018;33
26;PE;2018;114
11;RO;2018;49
33;RJ;2018;153
32;ES;2018;49
28;SE;2018;34
17;TO;2018;47
51;MT;2018;68
23;CE;2018;164
27;AL;2018;49
13;AM;2018;115
52;GO;2018;151
21;MA;2018;104
43;RS;2018;207
29;BA;2018;133
22;PI;2018;101
41;PR;2018;232
53;DF;2018;67
12;AC;2018;28
31;MG;2018;336
23;CE;2019;185
15;PA;2019;139
16;AP;2019;34
13;AM;2019;140
17;TO;2019;42
33;RJ;2019;163
35;SP;2019;688
12;AC;2019;32
41;PR;2019;294
21;MA;2019;115
25;PB;2019;77
26;PE;2019;131
24;RN;2019;43
53;DF;2019;74
27;AL;2019;40
28;SE;2019;36
29;BA;2019;155
31;MG;2019;420
32;ES;2019;78
42;SC;2019;178
43;RS;2019;266
22;PI;2019;106
50;MS;2019;96
11;RO;2019;59
51;MT;2019;84
52;GO;2019;163
14;RR;2019;24
17;TO;2020;38
27;AL;2020;51
24;RN;2020;46
53;DF;2020;58
52;GO;2020;202
31;MG;2020;393
32;ES;2020;54
26;PE;2020;142
25;PB;2020;53
42;SC;2020;176
21;MA;2020;107
16;AP;2020;28
43;RS;2020;290
22;PI;2020;81
41;PR;2020;264
12;AC;2020;27
35;SP;2020;623
50;MS;2020;91
11;RO;2020;43
15;PA;2020;156
33;RJ;2020;184
14;RR;2020;13
51;MT;2020;89
13;AM;2020;169
29;BA;2020;194
28;SE;2020;35
23;CE;2020;164
43;RS;2021;275
16;AP;2021;36
22;PI;2021;94
23;CE;2021;217
41;PR;2021;324
13;AM;2021;157
35;SP;2021;691
51;MT;2021;84
12;AC;2021;31
14;RR;2021;36
15;PA;2021;162
29;BA;2021;213
11;RO;2021;66
33;RJ;2021;225
27;AL;2021;51
53;DF;2021;71
50;MS;2021;117
17;TO;2021;54
31;MG;2021;448
24;RN;2021;58
26;PE;2021;161
52;GO;2021;189
32;ES;2021;69
25;PB;2021;62
28;SE;2021;41
42;SC;2021;170
21;MA;2021;132
32;ES;2022;51
41;PR;2022;95
51;MT;2022;480
27;AL;2022;64
22;PI;2022;143
52;GO;2022;202
28;SE;2022;799
15;PA;2022;210
42;SC;2022;199
